region,id,country,in_stock,out_stock,year,group,gni
Asia,TLS,Timor-Leste,19.228,0,2005,1,910.00
Africa,LSO,Lesotho,190.4,56.67,2005,2,910.00
Asia,MNG,Mongolia,734.36,2.3,2005,1,900.00
Oceania,SLB,Solomon Islands,118.65,0,2005,1,900.00
Africa,CMR,Cameroon,2941.061,260.091,2005,2,900.00
Europe,MDA,Moldova,1020.18,25.07,2005,2,890.00
Africa,STP,Sao Tome and Principe,40.64,14.6,2005,1,780.00
Africa,SEN,Senegal,358.2225643,58.28748806,2005,1,770.00
Asia,PAK,Pakistan,10209,870,2005,1,740.00
Asia,IND,India,43201.5755,9741.302563,2005,1,730.00
Oceania,PNG,Papua New Guinea,1068.805354,212.172,2005,1,700.00
Asia,YEM,Yemen,803.304,200.33,2005,1,690.00
Africa,MRT,Mauritania,1608.018,9.412,2005,1,690.00
Asia,VNM,Vietnam,22444.301,65,2005,1,680.00
Africa,NGA,Nigeria,26345,302,2005,1,660.00
Africa,COM,Comoros,24.25,,2005,1,620.00
Africa,BEN,Benin,284.3371934,19.59401982,2005,1,590.00
Africa,SDN,Sudan,,,2005,1,560.00
Africa,ZMB,Zambia,5409,0,2005,1,550.00
Asia,BGD,Bangladesh,3537.15,94,2005,1,540.00
Asia,UZB,Uzbekistan,1297.2,,2005,1,530.00
Africa,KEN,Kenya,1113.655,138.838,2005,1,530.00
Africa,GHA,Ghana,2144.55,0,2005,1,470.00
Africa,TCD,Chad,3039.982,70.255,2005,1,470.00
Asia,LAO,Laos,680.848,14.903,2005,1,460.00
Asia,KHM,Cambodia,2470.998,267.0034332,2005,1,460.00
Asia,KGZ,Kyrgyzstan,627.1988998,147.54,2005,1,450.00
Africa,MLI,Mali,871.5948759,7.866382993,2005,1,450.00
Africa,ZWE,Zimbabwe,1383.05,242.202,2005,1,430.00
Americas,HTI,Haiti,151,2.004859125,2005,1,420.00
Africa,TZA,Tanzania,4438.8,,2005,1,410.00
Africa,BFA,Burkina Faso,75.36728671,7.409578859,2005,1,410.00
Africa,GMB,"Gambia, The",372.4512655,,2005,1,400.00
Africa,GNB,Guinea-Bissau,5.929461529,0.66002802,2005,1,390.00
Africa,TGO,Togo,234.725387,,2005,1,360.00
Africa,MOZ,Mozambique,2658.71717,0.4,2005,1,350.00
Africa,GIN,Guinea,580.69,17.49,2005,1,340.00
Africa,CAF,Central African Republic,198.2874548,43.16908224,2005,1,340.00
Asia,TJK,Tajikistan,305.8002,,2005,1,320.00
Africa,SLE,Sierra Leone,299.888,,2005,1,320.00
Asia,NPL,Nepal,127.06,,2005,1,310.00
Africa,UGA,Uganda,2024.365473,0,2005,1,300.00
Africa,MWI,Malawi,614.3883148,8.36962054,2005,1,300.00
Africa,MDG,Madagascar,250.298636,6.387,2005,1,290.00
Africa,RWA,Rwanda,77.27356207,0,2005,1,270.00
Africa,ERI,Eritrea,422.8430043,,2005,1,260.00
Asia,AFG,Afghanistan,583.577,,2005,1,250.00
Africa,NER,Niger,99.9645707,1.915340166,2005,1,250.00
Africa,COD,Democratic Republic of the Congo,908.25,95.409,2005,1,200.00
Africa,ETH,Ethiopia,2820.752,,2005,1,160.00
Africa,BDI,Burundi,47.41921797,2.349347961,2005,1,130.00
Africa,LBR,Liberia,3788.0457,2929.487649,2005,1,120.00
Americas,BMU,Bermuda,1200.2,241.2,2005,4,
Oceania,ASM,American Samoa,,,2005,3,
Oceania,COK,Cook Islands,834.879,294.723,2005,0,
Americas,ABW,Aruba,2383.240223,645.2681564,2005,4,
Americas,FLK,Falkland Islands (Islas Malvinas),,,2005,0,
Americas,GUF,French Guiana,,,2005,0,
Americas,CYM,Cayman Islands,46513.227,37796.086,2005,4,
Europe,GIB,Gibraltar,1104.058,,2005,0,
Americas,GLP,Guadeloupe,,,2005,0,
Oceania,PYF,French Polynesia,202.7900183,44.734,2005,4,
Asia,IRQ,Iraq,1760.306,88.7,2005,2,
Americas,MTQ,Martinique,,,2005,0,
Oceania,GUM,Guam,,,2005,4,
Americas,MSR,Montserrat,95.137,1.177,2005,0,
Oceania,NRU,Nauru,,22.29,2005,0,
Oceania,NCL,New Caledonia,365.626,64.355,2005,4,
Oceania,NIU,Niue,,16.625,2005,0,
Asia,PRK,North Korea,1429.36,,2005,1,
Africa,REU,Reunion,,,2005,0,
Africa,SHN,Saint Helena,,,2005,0,
Asia,MMR,Myanmar,6480.434,,2005,1,
Africa,SSD,South Sudan,,,2005,0,
Europe,FRO,Faroe Islands,,,2005,4,
Americas,SPM,Saint Pierre and Miquelon,,,2005,0,
Africa,SOM,Somalia,22.19,,2005,1,
Asia,PSE,Palestine,1559.84,0,2005,2,"1,660.00"
Americas,TCA,Turks and Caicos Islands,,,2005,0,
Americas,VGB,"Virgin Islands, British",,,2005,0,
Americas,VIR,"Virgin Islands, U.S.",,,2005,4,
Africa,ESH,Western Sahara,,,2005,0,
Europe,CHE,Switzerland,86804.21632,232160.8921,2000,5,"43,490.00"
Europe,LUX,Luxembourg,0,0,2000,5,"42,250.00"
Europe,NOR,Norway,30265.01667,34025.65407,2000,5,"36,560.00"
Americas,USA,United States,2783235,2694014,2000,5,"36,070.00"
Asia,JPN,Japan,50322.01915,278442.1236,2000,5,"34,980.00"
Europe,DNK,Denmark,73573.96671,73100.18079,2000,5,"32,660.00"
Europe,ISL,Iceland,497.4734357,663.4710744,2000,5,"31,540.00"
Europe,SWE,Sweden,93791.19853,123618.4723,2000,5,"31,220.00"
Europe,NLD,Netherlands,243732.8904,305461.3889,2000,5,"28,560.00"
Europe,GBR,United Kingdom,463134.4279,923366.5249,2000,5,"27,400.00"
Asia,HKG,Hong Kong,435417.137,379284.7614,2000,4,"26,930.00"
Europe,AUT,Austria,31164.87731,24820.64223,2000,5,"26,690.00"
Europe,FIN,Finland,24272.57163,52109.16636,2000,5,"26,420.00"
Europe,DEU,Germany,271613.2094,541866.0265,2000,5,"26,210.00"
Europe,BEL,Belgium,195219,179773,2000,5,"26,040.00"
Europe,FRA,France,184214.9829,365871.0884,2000,5,"25,150.00"
Europe,IRL,Ireland,127088.7419,27925.26217,2000,5,"24,200.00"
Asia,SGP,Singapore,110570.3044,56755.20278,2000,4,"23,670.00"
Americas,CAN,Canada,212715.6379,237638.9815,2000,5,"22,520.00"
Europe,ITA,Italy,122533.0095,169956.9178,2000,5,"21,820.00"
Oceania,AUS,Australia,121685.8259,92508.24077,2010,5,"21,110.00"
Americas,BHS,Bahamas,3277.889,452.158,2000,4,"20,330.00"
Americas,GRL,Greenland,,,2000,4,"20,290.00"
Asia,KWT,Kuwait,608.4549115,1427.910244,2000,4,"19,050.00"
Asia,ISR,Israel,20425.728,9091.161,2000,4,"18,800.00"
Oceania,PYF,French Polynesia,138.58,0,2000,4,"15,990.00"
Europe,ESP,Spain,156348.2427,129193.6149,2000,5,"15,900.00"
Asia,TWN,Taiwan,19502,66655,2000,4,"15,100.00"
Asia,BRN,Brunei,3867.836,512.313,2000,4,"14,800.00"
Asia,MAC,Macao,2801,0,2000,4,"14,640.00"
Asia,CYP,Cyprus,2845.92,556.871,2000,4,"14,070.00"
Oceania,NZL,New Zealand,24956.5821,8490.922617,2000,5,"14,070.00"
Oceania,NCL,New Caledonia,66.744,1.737,2000,4,"14,020.00"
Europe,GRC,Greece,14112.8,6093.8,2000,5,"13,310.00"
Europe,PRT,Portugal,32043.22735,19793.6149,2000,5,"12,140.00"
Europe,SVN,Slovenia,2893.671663,767.9423834,2000,4,"11,350.00"
Americas,BRB,Barbados,307.78,40.733,2000,4,"11,070.00"
Asia,BHR,Bahrain,5905.835357,1752.123,2000,3,"10,900.00"
Asia,KOR,South Korea,43738,21497.4,2000,3,"10,750.00"
Europe,MLT,Malta,2263.245215,192.6890545,2000,4,"10,510.00"
Americas,PRI,Puerto Rico,,,2000,3,"10,310.00"
Americas,ATG,Antigua and Barbuda,619.207,5.055,2000,3,"8,620.00"
Americas,KNA,Saint Kitts and Nevis,487.223,2.785,2000,3,"8,300.00"
Asia,SAU,Saudi Arabia,17577,5284.548147,2000,3,"7,860.00"
Americas,ARG,Argentina,67600.51,21140.6902,2000,3,"7,440.00"
Africa,SYC,Seychelles,515.2300092,130.4245657,2000,3,"7,290.00"
Asia,OMN,Oman,2576.545489,0,2000,3,"7,160.00"
Americas,URY,Uruguay,2088,138.2,2000,3,"7,050.00"
Europe,CZE,Czech Republic,21643.65694,737.8229709,2000,3,"6,320.00"
Americas,MEX,Mexico,121691.036,8273.376,2000,3,"5,750.00"
Europe,SVK,Slovakia,6969.92342,554.976784,2000,3,"5,520.00"
Asia,LBN,Lebanon,14232.952,351.651,2000,3,"5,470.00"
Americas,TTO,Trinidad and Tobago,7280.341,293,2000,3,"5,420.00"
Europe,HRV,Croatia,2664.127522,759.9049419,2000,3,"5,290.00"
Americas,CHL,Chile,45753.4,11154,2000,3,"5,020.00"
Europe,POL,Poland,33476.6785,267.8061267,2000,3,"4,690.00"
Europe,HUN,Hungary,22869.88937,1279.850701,2000,3,"4,660.00"
Americas,LCA,Saint Lucia,806.511,4.496,2000,3,"4,410.00"
Asia,TUR,Turkey,18812,3668,2000,3,"4,200.00"
Europe,EST,Estonia,2645.414026,259.1444975,2000,3,"4,150.00"
Americas,VEN,Venezuela,35480,7676,2000,3,"4,070.00"
Americas,PAN,Panama,6774.9,0,2000,3,"3,880.00"
Americas,GRD,Grenada,347.899,1.989,2000,3,"3,860.00"
Americas,BRA,Brazil,122250.3091,51946.186,2000,3,"3,840.00"
Americas,CRI,Costa Rica,2709.128,86.0544,2000,3,"3,710.00"
Americas,DMA,Dominica,275.204,2.752,2000,3,"3,600.00"
Americas,VCT,Saint Vincent and the Grenadines,498.967,0.037,2000,2,"3,470.00"
Asia,MYS,Malaysia,52747.49047,15877.58105,2000,3,"3,420.00"
Europe,LVA,Latvia,1691.650616,19.54051866,2000,2,"3,310.00"
Americas,JAM,Jamaica,3316.9,709.4,2000,2,"3,290.00"
Europe,LTU,Lithuania,2334.3125,29.3175,2000,2,"3,220.00"
Americas,BLZ,Belize,300.801,43.3905,2000,2,"3,150.00"
Africa,ZAF,South Africa,43451.01407,27327.73997,2000,3,"3,140.00"
Africa,GAB,Gabon,,279.836,2000,3,"3,090.00"
Africa,BWA,Botswana,1826.6557,516.5677284,2000,3,"3,000.00"
Americas,DOM,Dominican Republic,1672.8,67.66146646,2000,2,"2,630.00"
Americas,CUB,Cuba,,,2000,2,"2,620.00"
Americas,COL,Colombia,11157.197,2989.329,2000,2,"2,320.00"
Africa,TUN,Tunisia,11544.79174,33.2058038,2000,2,"2,310.00"
Oceania,FJI,Fiji,356.4843832,38.9790419,2000,2,"2,230.00"
Americas,SLV,El Salvador,1973.07383,103.9,2000,2,"2,160.00"
Africa,NAM,Namibia,1276.329524,44.94946158,2000,2,"2,110.00"
Oceania,TON,Tonga,18.93,14.397,2000,2,"2,030.00"
Asia,THA,Thailand,30944,3232,2000,2,"1,990.00"
Americas,PER,Peru,11061.94359,505.1353555,2000,2,"1,970.00"
Americas,SUR,Suriname,0,,2000,2,"1,870.00"
Europe,MKD,Macedonia,539.7379709,16.10697038,2000,2,"1,860.00"
Asia,JOR,Jordan,3135.110205,44.28779166,2000,2,"1,800.00"
Asia,IRN,Iran,2597.461,414.017,2000,2,"1,760.00"
Europe,ROU,Romania,6952.998539,136.2253301,2000,2,"1,720.00"
Europe,RUS,Russian Federation,32204,20141,2000,2,"1,710.00"
Europe,BGR,Bulgaria,2703.687575,67.02770101,2000,2,"1,660.00"
Americas,GTM,Guatemala,3419.8943,92.8,2000,2,"1,660.00"
Oceania,WSM,Samoa,50.978,0,2000,2,"1,600.00"
Africa,DZA,Algeria,3378.87,205.346,2000,2,"1,590.00"
Americas,ECU,Ecuador,6337.15,252.3762699,2000,2,"1,540.00"
Europe,SRB,Serbia and Montenegro,,,2000,2,"1,530.00"
Africa,SWZ,Swaziland,536.0375239,87.20354099,2000,2,"1,520.00"
Europe,BIH,Bosnia and Herzegovina,450.3442107,0,2000,2,"1,470.00"
Oceania,VUT,Vanuatu,60.9957,0,2000,2,"1,430.00"
Africa,EGY,Egypt,19955,655.12,2000,2,"1,420.00"
Oceania,KIR,Kiribati,0,0,2000,2,"1,390.00"
Europe,BLR,Belarus,1305.5,23.8,2000,2,"1,380.00"
Africa,MAR,Morocco,8841.66945,402.3422365,2000,2,"1,380.00"
Africa,CPV,Cape Verde,191.8816132,0,2000,2,"1,370.00"
Americas,PRY,Paraguay,1221.25,28.70228856,2000,2,"1,360.00"
Asia,KAZ,Kazakhstan,10077.67749,15.53753,2000,2,"1,260.00"
Asia,PHL,Philippines,13761.965,1032,2000,2,"1,220.00"
Europe,ALB,Albania,246.8004111,0,2000,2,"1,170.00"
Oceania,SLB,Solomon Islands,105.948,0,2000,1,"1,010.00"
Americas,BOL,Bolivia,,,2000,2,990.00
Americas,NIC,Nicaragua,1414.45,0,2000,1,970.00
Asia,SYR,Syria,1244,107.397,2000,2,970.00
Asia,CHN,China,193348,27768.387,2000,2,930.00
Americas,HND,Honduras,1391.568941,0,2000,2,920.00
Africa,GNQ,Equatorial Guinea,1059.994,,2000,2,880.00
Americas,GUY,Guyana,756.446,1,2000,2,880.00
Asia,LKA,Sri Lanka,1596.209736,86.02555556,2000,2,880.00
Asia,BTN,Bhutan,4.420274762,,2000,1,780.00
Africa,DJI,Djibouti,40.07391642,,2000,2,760.00
Asia,GEO,Georgia,762.1762746,117.8651116,2000,1,750.00
Europe,UKR,Ukraine,3875,170,2000,1,700.00
Africa,GMB,"Gambia, The",216.02,,2000,1,670.00
Asia,ARM,Armenia,513.098,0.01,2000,1,660.00
Africa,CIV,Cote d'Ivoire,2483.151311,8.688547147,2000,1,640.00
Asia,UZB,Uzbekistan,698.3,,2000,1,630.00
Oceania,PNG,Papua New Guinea,935.485971,210.112,2000,2,620.00
Asia,AZE,Azerbaijan,3735.25,1,2000,1,610.00
Africa,CMR,Cameroon,1600.135,253.651,2000,1,600.00
Asia,TKM,Turkmenistan,949.22,,2000,2,600.00
Africa,LSO,Lesotho,329.575678,1.944629816,2000,1,580.00
Africa,COG,Congo,1892.585,40.293,2000,1,570.00
Asia,IDN,Indonesia,,,2000,1,560.00
Africa,MRT,Mauritania,146.049,4.389,2000,1,510.00
Africa,SEN,Senegal,294.5835952,21.87102366,2000,1,510.00
Asia,PAK,Pakistan,6918.623983,488.7,2000,1,490.00
Africa,ZWE,Zimbabwe,1238.05,233.601,2000,1,490.00
Asia,MNG,Mongolia,181.56,0,2000,1,470.00
Asia,IND,India,16338.95187,1733.475936,2000,1,450.00
Asia,BGD,Bangladesh,2161.76,69.2407,2000,1,420.00
Africa,COM,Comoros,20.649,,2000,1,420.00
Africa,KEN,Kenya,931.717,115.222,2000,1,420.00
Asia,YEM,Yemen,843,12.446,2000,1,420.00
Asia,VNM,Vietnam,14730.301,0,2000,1,400.00
Africa,AGO,Angola,7977.132,,2000,1,390.00
Africa,BEN,Benin,213.1992153,10.51988011,2000,1,390.00
Africa,GIN,Guinea,263.31,11.99871826,2000,1,380.00
Europe,MDA,Moldova,448.83,22.96,2000,1,370.00
Africa,GHA,Ghana,1554.06,0,2000,1,340.00
Africa,ZMB,Zambia,3966,0,2000,1,330.00
Africa,SDN,Sudan,,,2000,1,320.00
Asia,KHM,Cambodia,1579.917,193.200319,2000,1,300.00
Africa,TZA,Tanzania,2780.9,,2000,1,300.00
Africa,TGO,Togo,86.84858948,,2000,1,300.00
Asia,KGZ,Kyrgyzstan,431.8,33.2,2000,1,280.00
Asia,LAO,Laos,588.348,20.349,2000,1,280.00
Africa,MLI,Mali,132.3638097,0.635505163,2000,1,280.00
Africa,MOZ,Mozambique,1249.231064,0.503227049,2000,1,280.00
Africa,NGA,Nigeria,23786.38755,4143.854,2000,1,270.00
Africa,UGA,Uganda,807.1,0,2000,1,270.00
Africa,BFA,Burkina Faso,27.83314018,0.439746876,2000,1,250.00
Africa,CAF,Central African Republic,104.3057838,43.17037461,2000,1,250.00
Africa,MDG,Madagascar,140.8300193,9.77,2000,1,250.00
Africa,RWA,Rwanda,55.2,0,2000,1,240.00
Asia,NPL,Nepal,71.911,,2000,1,230.00
Africa,ERI,Eritrea,337.4102067,,2000,1,200.00
Africa,GNB,Guinea-Bissau,38.019,0,2000,1,190.00
Africa,TCD,Chad,575.882,70.255,2000,1,180.00
Africa,NER,Niger,45.42301522,0.983047049,2000,1,170.00
Asia,TJK,Tajikistan,136.1866,,2000,1,170.00
Africa,MWI,Malawi,357.7,,2000,1,160.00
Africa,SLE,Sierra Leone,283.9690673,,2000,1,160.00
Africa,LBR,Liberia,3246.56,2187.514196,2000,1,150.00
Africa,BDI,Burundi,46.79930929,2.336247961,2000,1,130.00
Africa,COD,Democratic Republic of the Congo,617.36,33.532,2000,1,130.00
Africa,ETH,Ethiopia,941.14,,2000,1,120.00
Americas,BMU,Bermuda,264.8,108,2000,4,
Americas,CYM,Cayman Islands,25584.53,20788.122,2000,4,
Asia,IRQ,Iraq,,0,2000,2,
Asia,AFG,Afghanistan,17.197,,2000,1,
Oceania,ASM,American Samoa,,,2000,3,
Americas,ABW,Aruba,1160.558659,675.3798883,2000,4,
Oceania,COK,Cook Islands,218.293,,2000,0,
Americas,FLK,Falkland Islands (Islas Malvinas),,,2000,0,
Europe,FRO,Faeroe Islands,,,2000,4,
Americas,GUF,French Guiana,,,2000,0,
Europe,GIB,Gibraltar,642.38,,2000,0,
Americas,GLP,Guadeloupe,,,2000,0,
Oceania,GUM,Guam,,,2000,4,
Americas,HTI,Haiti,94.66,2.004859125,2000,1,
Africa,LBY,Libya,471.497,1902.667,2000,3,
Asia,MDV,Maldives,127.723,,2000,2,
Americas,MTQ,Martinique,,,2000,0,
Europe,MNE,Montenegro,,,2000,0,
Americas,MSR,Montserrat,82.991,0.056,2000,0,
Asia,MMR,Myanmar,3752.005,,2000,1,
Oceania,NRU,Nauru,,22.29,2000,0,
Oceania,NIU,Niue,5.64,9.736,2000,0,
Asia,PRK,North Korea,1044.23,,2000,1,
Asia,QAT,Qatar,1911.7,74.304,2000,4,
Africa,REU,Reunion,,,2000,0,
Africa,SHN,Saint Helena,,,2000,0,
Americas,SPM,Saint Pierre and Miquelon,,,2000,0,
Africa,STP,Sao Tome and Principe,11.44,0,2000,1,
Africa,SOM,Somalia,3.65,,2000,1,
Africa,SSD,South Sudan,,,2000,0,
Asia,PSE,Palestine,1417.81,0,2000,0,
Asia,TLS,Timor-Leste,,,2000,0,
Americas,TCA,Turks and Caicos Islands,,,2000,0,
Asia,ARE,United Arab Emirates,1069.19,1937.965,2000,4,
Americas,VGB,"Virgin Islands, British",32092.73,67132.221,2000,0,
Americas,VIR,"Virgin Islands, U.S.",,,2000,4,
Africa,ESH,Western Sahara,,,2000,0,