id,province,year,mobile_per_1000,broadband_per_1000
AV,China Average,2017,933.9261968,242.4349065
AV,China Average,2016,798.4715,202.4908065
AV,China Average,2015,713.545729,177.7823103
AV,China Average,2014,655.3123226,142.2652519
AV,China Average,2013,0,134.2382039
AV,China Average,2012,0,125.8284658
AV,China Average,2011,0,109.5994252
BJ,Beijing,2017,2137.126,249.6085
TJ,Tianjin,2017,841.1047,217.9191
HB,Hebei,2017,826.0372,254.0027
SX,Shanxi,2017,798.5143,235.7915
NM,Inner Mongolia,2017,933.2938,195.3341
LN,Liaoning,2017,901.0758,242.298
JL,Jilin,2017,864.7773,184.5786
HK,Heilongjiang,2017,754.4735,175.4025
SH,Shanghai,2017,1403.267,281.7618
JS,Jiangsu,2017,1153.02,386.8601
ZJ,Zhejiang,2017,1318.066,435.6726
AH,Anhui,2017,741.7586,211.6227
FJ,Fujian,2017,897.1619,351.2145
JX,Jiangxi,2017,666.2267,215.7291
SD,Shandong,2017,850.2898,258.7148
HA,Henan,2017,789.0365,222.6593
HU,Hubei,2017,697.4585,210.5896
HN,Hunan,2017,717.5656,191.7638
GD,Guangdong,2017,1267.822,290.6975
GX,Guangxi,2017,760.1638,198.1576
HI,Hainan,2017,984.5572,246.9762
CQ,Chongqing,2017,920.8455,281.9187
SC,Sichuan,2017,830.9444,261.0817
GZ,Guizhou,2017,820.8101,158.8268
YN,Yunnan,2017,766.6111,169.2564
XZ,Tibet (Xizang),2017,589.6142,181.6024
SN,Shaanxi,2017,1293.933,318.5891
GS,Gansu,2017,774.6002,219.4973
QH,Qinghai,2017,891.806,200.8361
NX,Ningxia,2017,1000.733,233.4311
XJ,Xinjiang,2017,759.0184,233.0879
BJ,Beijing,2016,1653.935,218.96
TJ,Tianjin,2016,720.4866,181.7542
HB,Hebei,2016,738.7282,215.7965
SX,Shanxi,2016,674.9864,202.9332
NM,Inner Mongolia,2016,811.5873,165.5556
LN,Liaoning,2016,806.2586,221.9507
JL,Jilin,2016,742.6637,160.9952
HK,Heilongjiang,2016,660.9371,151.3819
SH,Shanghai,2016,1100.124,262.686
JS,Jiangsu,2016,929.7287,335.692
ZJ,Zhejiang,2016,1138.873,386.3506
AH,Anhui,2016,674.6127,173.499
FJ,Fujian,2016,843.4435,295.4569
JX,Jiangxi,2016,566.8118,179.1159
SD,Shandong,2016,743.0582,237.9109
HA,Henan,2016,669.146,185.3966
HU,Hubei,2016,618.5047,192.3364
HN,Hunan,2016,637.7455,156.3911
GD,Guangdong,2016,1047.222,252.6957
GX,Guangxi,2016,653.9686,163.2906
HI,Hainan,2016,890.5125,203.3806
CQ,Chongqing,2016,838.5827,231.2008
SC,Sichuan,2016,769.5957,224.062
GZ,Guizhou,2016,711.308,129.2546
YN,Yunnan,2016,692.1191,137.3507
XZ,Tibet (Xizang),2016,532.3263,121.4502
SN,Shaanxi,2016,887.7,210.5953
GS,Gansu,2016,691.5326,150.5364
QH,Qinghai,2016,732.8836,168.1282
NX,Ningxia,2016,892,165.7778
XJ,Xinjiang,2016,681.2344,195.3294
BJ,Beijing,2015,1497.789,226.5776
TJ,Tianjin,2015,619.3277,161.4738
HB,Hebei,2015,618.0067,177.4007
SX,Shanxi,2015,590.1201,197.571
NM,Inner Mongolia,2015,742.732,145.6392
LN,Liaoning,2015,721.3373,196.3715
JL,Jilin,2015,651.3985,155.2125
HK,Heilongjiang,2015,527.0199,136.2802
SH,Shanghai,2015,1063.892,235.528
JS,Jiangsu,2015,843.6434,294.17
ZJ,Zhejiang,2015,1049.576,344.2499
AH,Anhui,2015,597.6237,148.6491
FJ,Fujian,2015,794.0089,272.1542
JX,Jiangxi,2015,474.6167,155.6943
SD,Shandong,2015,620.4529,201.1577
HA,Henan,2015,569.4515,157.0675
HU,Hubei,2015,556.2884,173.3424
HN,Hunan,2015,536.503,134.2326
GD,Guangdong,2015,1009.328,247.2762
GX,Guangxi,2015,583.4654,149.2494
HI,Hainan,2015,859.4951,164.1054
CQ,Chongqing,2015,758.4355,199.768
SC,Sichuan,2015,667.5524,173.5739
GZ,Guizhou,2015,626.7139,109.5751
YN,Yunnan,2015,585.7655,113.3066
XZ,Tibet (Xizang),2015,501.2346,91.35802
SN,Shaanxi,2015,733.0609,181.8877
GS,Gansu,2015,614.9231,116.4231
QH,Qinghai,2015,670.068,139.966
NX,Ningxia,2015,800.7485,138.4731
XJ,Xinjiang,2015,635.339,173.5169
BJ,Beijing,2014,1294.331,224.1636
TJ,Tianjin,2014,531.114,137.6401
HB,Hebei,2014,546.3299,152.7086
SX,Shanxi,2014,525.5208,156.5515
NM,Inner Mongolia,2014,667.6248,126.4671
LN,Liaoning,2014,637.0531,175.8369
JL,Jilin,2014,598.1468,150.7631
HK,Heilongjiang,2014,525.9327,126.4284
SH,Shanghai,2014,1056.348,219.3735
JS,Jiangsu,2014,797.1608,191.3819
ZJ,Zhejiang,2014,973.5113,231.6812
AH,Anhui,2014,438.698,92.68453
FJ,Fujian,2014,777.6931,236.2585
JX,Jiangxi,2014,421.5324,95.59665
SD,Shandong,2014,568.9243,155.6747
HA,Henan,2014,475.1272,115.2925
HU,Hubei,2014,499.3982,149.5358
HN,Hunan,2014,478.3435,110.5685
GD,Guangdong,2014,970.981,202.7322
GX,Guangxi,2014,544.0682,124.6109
HI,Hainan,2014,775.969,133.2226
CQ,Chongqing,2014,673.3868,158.9435
SC,Sichuan,2014,617.9361,108.4889
GZ,Guizhou,2014,571.4937,88.626
YN,Yunnan,2014,521.6801,90.13577
XZ,Tibet (Xizang),2014,615.0943,69.49686
SN,Shaanxi,2014,698.8609,146.3311
GS,Gansu,2014,644.0756,82.555
QH,Qinghai,2014,559.1767,105.3173
NX,Ningxia,2014,727.7946,118.1269
XJ,Xinjiang,2014,581.3751,133.0287
BJ,Beijing,2013,0,227.1395
TJ,Tianjin,2013,0,127.9891
HB,Hebei,2013,0,140.6791
SX,Shanxi,2013,0,143.6088
NM,Inner Mongolia,2013,0,113.8511
LN,Liaoning,2013,0,165.5809
JL,Jilin,2013,0,137.9862
HK,Heilongjiang,2013,0,119.8435
SH,Shanghai,2013,0,211.6356
JS,Jiangsu,2013,0,180.2872
ZJ,Zhejiang,2013,0,226.0276
AH,Anhui,2013,0,90.67993
FJ,Fujian,2013,0,221.4096
JX,Jiangxi,2013,0,90.68996
SD,Shandong,2013,0,150.5291
HA,Henan,2013,0,106.2892
HU,Hubei,2013,0,140.2483
HN,Hunan,2013,0,104.9768
GD,Guangdong,2013,0,195.575
GX,Guangxi,2013,0,118.5844
HI,Hainan,2013,0,123.9106
CQ,Chongqing,2013,0,147.7441
SC,Sichuan,2013,0,103.0221
GZ,Guizhou,2013,0,83.49515
YN,Yunnan,2013,0,86.34521
XZ,Tibet (Xizang),2013,0,61.21795
SN,Shaanxi,2013,0,134.4846
GS,Gansu,2013,0,74.43842
QH,Qinghai,2013,0,94.9827
NX,Ningxia,2013,0,108.7156
XJ,Xinjiang,2013,0,129.417
BJ,Beijing,2012,0,228.9512
TJ,Tianjin,2012,0,144.9398
HB,Hebei,2012,0,132.2585
SX,Shanxi,2012,0,139.7951
NM,Inner Mongolia,2012,0,110.3614
LN,Liaoning,2012,0,161.2896
JL,Jilin,2012,0,132.5818
HK,Heilongjiang,2012,0,113.6672
SH,Shanghai,2012,0,227.3109
JS,Jiangsu,2012,0,170.5429
ZJ,Zhejiang,2012,0,210.4437
AH,Anhui,2012,0,84.66934
FJ,Fujian,2012,0,196.905
JX,Jiangxi,2012,0,82.59325
SD,Shandong,2012,0,140.8467
HA,Henan,2012,0,98.6179
HU,Hubei,2012,0,122.5125
HN,Hunan,2012,0,91.03781
GD,Guangdong,2012,0,179.6866
GX,Guangxi,2012,0,108.3084
HI,Hainan,2012,0,107.6663
CQ,Chongqing,2012,0,131.7827
SC,Sichuan,2012,0,101.9069
GZ,Guizhou,2012,0,70.00574
YN,Yunnan,2012,0,80.59669
XZ,Tibet (Xizang),2012,0,55.51948
SN,Shaanxi,2012,0,117.133
GS,Gansu,2012,0,63.34368
QH,Qinghai,2012,0,87.08551
NX,Ningxia,2012,0,94.12674
XJ,Xinjiang,2012,0,114.1961
BJ,Beijing,2011,0,252.9965
TJ,Tianjin,2011,0,137.786
HB,Hebei,2011,0,113.8655
SX,Shanxi,2011,0,115.8085
NM,Inner Mongolia,2011,0,93.0701
LN,Liaoning,2011,0,149.4638
JL,Jilin,2011,0,111.8225
HK,Heilongjiang,2011,0,100.5216
SH,Shanghai,2011,0,210.2684
JS,Jiangsu,2011,0,148.2466
ZJ,Zhejiang,2011,0,186.6557
AH,Anhui,2011,0,72.4866
FJ,Fujian,2011,0,162.6882
JX,Jiangxi,2011,0,69.74153
SD,Shandong,2011,0,119.7572
HA,Henan,2011,0,83.56412
HU,Hubei,2011,0,100.7468
HN,Hunan,2011,0,73.24136
GD,Guangdong,2011,0,156.4874
GX,Guangxi,2011,0,89.30032
HI,Hainan,2011,0,91.67617
CQ,Chongqing,2011,0,109.5923
SC,Sichuan,2011,0,83.03106
GZ,Guizhou,2011,0,59.03719
YN,Yunnan,2011,0,64.34895
XZ,Tibet (Xizang),2011,0,42.24422
SN,Shaanxi,2011,0,98.79776
GS,Gansu,2011,0,52.10608
QH,Qinghai,2011,0,73.23944
NX,Ningxia,2011,0,81.69014
XJ,Xinjiang,2011,0,93.30014