id,province,year,idp_total
DI,Damascus,2016,436170
HI,Homs,2016,526510
LA,Lattakia,2016,377974
RD,Rif Dimashq,2016,1269202
TA,Tartus,2016,258505
QU,Quneitra,2016,36890
SU,As Suwayda,2016,61696
HA,Al Hasakah,2016,301618
RA,Ar Raqqah,2016,201350
HL,Aleppo,2016,1246968
DY,Dayr Az Zawr,2016,318684
DR,Daraa,2016,320773
HM,Hamah,2016,500801
IB,Idlib,2016,704511
DI,Damascus,2017,651000
HI,Homs,2017,476703
LA,Lattakia,2017,388495
RD,Rif Dimashq,2017,1383017
TA,Tartus,2017,217565
QU,Quneitra,2017,46908
SU,As Suwayda,2017,51770
HA,Al Hasakah,2017,231951
RA,Ar Raqqah,2017,193846
HL,Aleppo,2017,1002023
DY,Dayr Az Zawr,2017,181915
DR,Daraa,2017,329928
HM,Hamah,2017,261350
IB,Idlib,2017,908929
DI,Damascus,2018,647602
HI,Homs,2018,355291
LA,Lattakia,2018,427057
RD,Rif Dimashq,2018,1303622
TA,Tartus,2018,201782
QU,Quneitra,2018,47493
SU,As Suwayda,2018,63344
HA,Al Hasakah,2018,229023
RA,Ar Raqqah,2018,157483
HL,Aleppo,2018,961845
DY,Dayr Az Zawr,2018,151800
DR,Daraa,2018,330118
HM,Hamah,2018,287803
IB,Idlib,2018,984515
DI,Damascus,2019,624613
HI,Homs,2019,327963
LA,Lattakia,2019,451908
RD,Rif Dimashq,2019,1227369
TA,Tartus,2019,130584
QU,Quneitra,2019,47725
SU,As Suwayda,2019,71954
HA,Al Hasakah,2019,249907
RA,Ar Raqqah,2019,154350
HL,Aleppo,2019,990494
DY,Dayr Az Zawr,2019,146875
DR,Daraa,2019,328481
HM,Hamah,2019,263096
IB,Idlib,2019,1125324